@@,item,itemlabel,position,positionlabel,startdate,enddate,psid
---,Q12223068,Abdel-Aziz bin Habtour,Q1192903,Prime Minister of Yemen,2016-10-04,,Q12223068-1D4FDB8E-50B1-40D2-B9E9-A5B6EF02A34A
---,Q16119932,Abdo Mohammed Abdullah Beshr,Q28492170,Minister of Industry and Trade,2016-11-28,,Q16119932-6bd06a72-47e3-765e-c887-af071072e3d5
---,Q114870620,Abdulaziz Al-Kumaim,Q28492160,Minister of Planning and International Cooperation,2017-07,,Q114870620-166C7643-4435-4627-9AB6-22FC6291BCD7
---,Q114870621,Abdulhakim Ahmed Al-Mawri,Q28481301,Minister of Interior of Yemen,2017-12-13,,Q114870621-52587B9E-E06A-40C5-A189-220DDC1FBBE0
---,Q114870622,Abdullah Ahmad Al-Kibsy,Q28492162,Minister of Culture,2016-11-28,,Q114870622-A9D4958F-75AD-479C-85D4-418BBABBBEEF
---,Q114870623,Abdulrahman Ahmed Al-Mukhtar,Q28492178,Minister of Legal Affairs,2016-11-28,,Q114870623-0032FC39-F5E6-4528-B396-5E10EB88CB48
---,Q114870624,Ahmed Abdullah Akabat,Q28492181,Minister of Justice,2016-11-28,,Q114870624-974FD735-8834-4033-8834-560D7B228078
---,Q114870625,Ahmed Abdullah Naji Dars,Q28492179,Minister of Oil and Minerals,2018-01-01,,Q114870625-7574EA5B-80A6-45C6-A094-B686BDB87628
---,Q114870626,Ahmed Saleh Al-Ganie,Q114869364,Minister of State for National Dialogue,2016-11-28,,Q114870626-AD9A1109-D2F4-4421-8FA3-DDE077CEEF5E
---,Q55436193,Ahmed bin ahmed AL-Maysari,Q28481301,Minister of Interior of Yemen,2017-12-25,2020-12-26,Q55436193-383da39b-4ab2-08e5-2415-50625ff21e68
---,Q114870627,Ali Abdullah Abu Hulaykah,Q28492180,Minister of Parliament and Shura Affairs,2016-11-28,,Q114870627-D0B028AA-D0E0-4691-BD28-EC1304967790
---,Q114870628,Ali Bin Ali Al-Kays,Q28492152,Minister of Local Administration,2016-11-28,,Q114870628-4946FA8C-7A85-4E1F-90B7-7A54A630AE00
---,Q59260881,Ali Haitham Ali Abdullah,Q28492181,Minister of Justice,2018-11-27,2020-12-26,Q59260881-1104F4B7-7660-481D-B0FA-BB9CF65D14FB
---,Q114870629,Alia Faisal Abdullatif Al-Shaba,Q28492163,Minister of Human Rights,2016-11-28,,Q114870629-BD27DCDC-878E-4AFD-89AD-708D71488A3A
---,Q114870630,Dhaifallah Qasim Saleh Al-Shami,Q28492156,Minister of Information,2018-11-10,,Q114870630-57296F88-D029-43BE-B4A6-9514D4197E60
---,Q114870631,Faiqah Al-Sayed Ba'Alawy,Q28492173,Minister of Social Affairs and Labor,2016-11-28,,Q114870631-893608D6-1BC1-4AA5-969E-0EF11505A2FA
---,Q5434993,Fares Mana'a,Q114869363,Minister of State,2016-11-28,,Q5434993-1831A993-0772-430E-AE34-1C279BC1D84D
