position,person,personID,start,end
Prime Minister,Abdel-Aziz bin Habtour,Q12223068,2016-10-04,
Prime Minister,Maeen Abdulmalik Saeed,Q57373157,2020-12-18,
Minister of Communication,Najeeb Mansour Hameed Al Auj,Q59246326,2020-12-18,
Minister of Endowments and Guidance,محمد عيضة شبيبة,Q104601317,2020-12-26,
Minister of Foreign Affairs,Hisham Sharaf,Q16187308,2016-11-28,
Minister of Foreign Affairs,Ahmad Awad Bin Mubarak,Q16119688,2020-12-18,
Minister of Industry and Trade,Abdo Mohammed Abdullah Beshr,Q16119932,2016-11-28,
Minister of Planning and International Cooperation,Waed Badhib,Q22690657,2020-12-18,
Minister of Tourism,Mohamed Qubaty,Q5627924,2016-09-18,
Speaker of the House of Representatives,Sultan al-Barakani,Q16119420,2019-04-13,
