item,itemLabel,position,positionLabel,cabinet,startDate,endDate,source,psid
Q114870632,Ghalib Abdullah Mutlaq,Q28492149,Minister of Public Works and Highways,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870632-6FCBED4E-6CBA-42AF-BC60-94822A318860
Q114870633,Ghazi Ahmed Mohsen,Q28492155,Minister of Agriculture and Irrigation,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870633-2DEAC138-242E-4A20-A5EE-F0BB9EE1B746
Q114870634,Hassan Mohammed Zaid,Q28492158,Minister of Youth and Sport,Q27943161,2016-11-28,2020-10-27,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870634-8A4FED8F-695E-4E01-9118-E136EE089718
Q114870635,Hussein Abdullah Mkabuli,Q25040191,Deputy Prime Minister for Economic Affairs,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870635-1FE9019E-4C72-4A18-ADFC-8848D7D5E91D
Q114870636,Hussein Ali Hazeb,Q28492172,Minister of Higher Education and Scientific Research,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870636-668954B0-84C5-468A-984C-93E86A2EB5D8
Q114870637,Lutf Ali al-Jermouzi,Q28492184,Minister of Electricity and Energy,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870637-CD8A3EA8-4556-46DE-AC1C-183A2123C76E
Q114870638,Mahmoud Abdel Kader al-Jounaïd,Q25040191,Deputy Prime Minister for the Affairs of the Service,Q27943161,2018-01-01,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870638-B21A8E26-DF92-4B99-A908-28DF61085581
Q114870639,Mohammad Mohammad al-Zubayri,Q28492157,Minister for Fisheries,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870639-2C75B073-A27A-4164-A72E-C029607D0C11
Q114870640,Mohammed Saeed al-Mashjari,Q28492176,Minister of Expatriate Affairs,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870640-C12394F3-E291-4469-842F-306D1D070C35
Q114870641,Mohsen Ali al-Nakib,Q28492154,Minister of Technical Education and Vocational,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870641-3FE41A3B-4A0D-4602-B668-812DCE511ADF
Q114870642,Musfer Abdullah Saleh Al-Numeir,Q28492151,Minister of Communications and Information Technology,Q27943161,2017-12-16,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870642-82D0FFB1-1B6D-4B4F-B467-479568CF0555
Q114870644,Nabil Abdullah al-Wazair,Q28492167,Minister of Water and Environment,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870644-55124049-8E6B-4DD7-8EB5-63F7C24F8C09
Q114870645,Nasser Mahfouz Bagazkoz,Q28492159,Minister of Tourism,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870645-A19DBCC5-0206-433D-ADA7-7D32C06B2BFB
Q114870646,Saleh Ahmed Shaaban,Q28492161,Minister of Finance,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870646-02BD363B-54DF-44BB-9882-61AF78C47ADD
Q114870647,Sharaf Ali al-Kulaisi,Q28492150,Minister of Religious Endowments and Guidance,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870647-BAB1B6DE-096E-4443-8A82-7F884233523B
Q114870648,Zakaria Yahya al-Shami,Q28492183,Minister of Transport,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q114870648-91F799F5-AA2B-4C85-8F65-D140E4F6D474
Q12223068,Abdel-Aziz bin Habtour,Q1192903,Prime Minister,Q27943161,2016-10-04,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q12223068-1D4FDB8E-50B1-40D2-B9E9-A5B6EF02A34A
Q16119932,Abdu Mohammed Bishr,Q28492170,Minister of Industry and Trade,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q16119932-6bd06a72-47e3-765e-c887-af071072e3d5
Q16127778,Hussein Arab,Q28481301,Minister of Interior of Yemen,,2015-12-01,2017-12-25,,Q16127778-BA1A0DD2-83CE-4F54-8FC1-A4F83866BA05
Q16187308,Hisham Sharaf Abdullah,Q18345286,Minister of Foreign Affairs,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q16187308-C4347B5A-01B5-47E8-A7EB-7C25A4230516
Q20385496,Jalal al-Rowaishan,Q25040191,Deputy Prime Minister for the Affairs of the Security,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q20385496-72F9442D-18CB-4859-9216-70482D2DF88E
Q26311375,Talal Aklan,Q28492175,Minister of Civil Service and Insurance,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q26311375-EF35A994-C1DA-42F1-8CCB-7A6D9246E506
Q28086296,Mohamed al-Atifi,Q24810166,Minister of Defense,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q28086296-125467C6-C5EA-44F2-B9E5-E9FB5585372C
Q4539761,Yahia Badreddin al-Houthi,Q28492165,Minister of Education,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q4539761-20c2961a-4158-fc21-b225-e4ddcb0ba930
Q5434993,Fares Mana'a,Q114869363,Minister of State,Q27943161,2016-11-28,,https://en.wikipedia.org/wiki/Supreme_Political_Council,Q5434993-1831A993-0772-430E-AE34-1C279BC1D84D
Q55436193,Ahmed bin ahmed AL-Maysari,Q28492155,Minister of Agriculture and Irrigation,,2015-10,2017-12-25,,Q55436193-165a9b9f-43e6-62e2-a46c-61adad288913
Q5627924,Mohamed Qubaty,Q28492159,Minister of Tourism,,2016-09-18,2020-12-26,,Q5627924-7820B73C-E881-4757-B64D-57A15CECDC7D
Q68107054,Mohammed Al-Hadhrami,Q18345286,Minister of Foreign Affairs of Yemen,,2019-09-19,2020-12-18,,Q68107054-d8e093d7-47a7-29a1-2472-7b7575dae360
